name,id,class,platforms,permissions
LSASS Memory,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,VMR,Windows,
IDE Extensions,attack-pattern--66b34be7-6915-4b83-8d5a-b0f0592b5e41,VMR,Linux;macOS;Windows,
Active Scanning,attack-pattern--67073dde-d720-45ae-83da-b12d5e73ca3b,VMR,PRE,
Junk Code Insertion,attack-pattern--671cd17f-a765-48fd-adc4-dad1941b1ae3,VMR,Linux;macOS;Windows,
Create Process with Token,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,VMR,Windows,
Setuid and Setgid,attack-pattern--6831414d-bb70-42b7-8030-d4e06b2660c9,VMR,Linux;macOS,
Winlogon Helper DLL,attack-pattern--6836813e-8ec8-4375-b459-abb388cb1a35,VMR,Windows,
External Proxy,attack-pattern--69b8fd78-40e8-4600-ae4d-662c9d7afdb3,VMR,ESXi;Linux;Network Devices;Windows;macOS,
Web Portal Capture,attack-pattern--69e5226d-05dc-4f15-95d7-44f5ed78d06e,VMR,Linux;macOS;Windows,
Email Addresses,attack-pattern--69f897fd-12a9-4c89-ad6a-46d2f3c38262,VMR,PRE,
Spearphishing Voice,attack-pattern--6a5d222a-a7e0-4656-b110-782c33098289,VMR,PRE,
Cached Domain Credentials,attack-pattern--6add2ab5-2711-4e9d-87c8-7a0be8531530,VMR,Windows;Linux,
Virtual Machine Discovery,attack-pattern--6bc7f9aa-b91f-4b23-84b8-5e756eba68eb,VMR,ESXi;Linux;macOS;Windows,
Network Security Appliances,attack-pattern--6c2957f9-502a-478c-b1dd-d626c0659413,VMR,PRE,
Image File Execution Options Injection,attack-pattern--6d4a7fb3-5a24-42be-ae61-6728a2b581f6,VMR,Windows,
Odbcconf,attack-pattern--6e3bd510-6b33-41a4-af80-2d80f3ee0071,VMR,Windows,
Search Engines,attack-pattern--6e561441-8431-4773-a9b8-ccf28ef6a968,VMR,PRE,
Business Relationships,attack-pattern--6ee2dc99-91ad-4534-a7d8-a649358c331f,VMR,PRE,
Video Capture,attack-pattern--6faf650d-bf31-4eb4-802d-1000cf38efaf,VMR,Windows;macOS;Linux,
Process Doppelgänging,attack-pattern--7007935a-a8a7-4c0b-bd98-4e85be8ed197,VMR,Windows,
System Network Configuration Discovery,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Code Repositories,attack-pattern--70910fbd-58dc-4c1c-8c48-814d11fcd022,VMR,PRE,
Executable Installer File Permissions Weakness,attack-pattern--70d81154-b187-45f9-8ec5-295d01255979,VMR,Windows,
Accessibility Features,attack-pattern--70e52b04-2a0c-4cea-9d18-7149f1df9dc5,VMR,Windows,
Proxy,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Malicious Library,attack-pattern--73b24a10-6bf4-4af1-a81e-67b8bcb6c4e6,VMR,Linux;macOS;Windows,
Indicator Blocking,attack-pattern--74d2a63f-3c7b-4852-92da-02d8fbab16da,VMR,Windows;macOS;Linux;ESXi,
Domain Account,attack-pattern--7610cada-1499-41a4-b3dd-46467b68d177,VMR,Linux;macOS;Windows,
Extended Attributes,attack-pattern--762e6f29-a62f-4d96-91ed-d0073181431f,VMR,Linux;macOS,
Employee Names,attack-pattern--76551c52-b111-4884-bc47-ff3e728f0156,VMR,PRE,
Domain Trust Discovery,attack-pattern--767dbf9e-df3f-45cb-8998-4903ab5f80c0,VMR,Windows,
Golden Ticket,attack-pattern--768dce68-8d0d-477a-b01d-0eea98b963a1,VMR,Windows,
Automated Exfiltration,attack-pattern--774a3188-6ba9-4dc4-879d-d54ee48a5ce9,VMR,Linux;macOS;Network Devices;Windows,
Client Configurations,attack-pattern--774ad5bb-2366-4c13-a8a9-65e50b292e7c,VMR,PRE,
IDE Tunneling,attack-pattern--77e29a47-e263-4f11-8692-e5012f44dbac,VMR,Linux;macOS;Windows,
Right-to-Left Override,attack-pattern--77eae145-55db-4519-8ae5-77b0c7215d69,VMR,Linux;macOS;Windows,
Malware,attack-pattern--7807d3a4-a885-4639-a786-c1ed41484970,VMR,PRE,
SVG Smuggling,attack-pattern--78b9e70d-1605-459c-b23d-e3a25036968c,VMR,Linux;macOS;Windows,
Component Firmware,attack-pattern--791481f8-e96a-41be-b089-a088763083d4,VMR,Windows;Linux;macOS,
Indicator Removal,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,VMR,Containers;ESXi;Linux;macOS;Network Devices;Office Suite;Windows,
Exfiltration Over Symmetric Encrypted Non-C2 Protocol,attack-pattern--79a4052e-1a89-4b09-aea6-51f1d11fe19c,VMR,Linux;macOS;Windows;ESXi,
Office Template Macros,attack-pattern--79a47ad0-fc3b-4821-9f01-a026b1ddba21,VMR,Windows;Office Suite,
Virtual Private Server,attack-pattern--79da0971-3147-4af6-a4f5-e8cd447cd795,VMR,PRE,
File and Directory Discovery,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Dynamic Resolution,attack-pattern--7bd9c723-2f78-4309-82c5-47cad406572b,VMR,Linux;macOS;Windows;ESXi,
Masquerade Task or Service,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,VMR,Linux;macOS;Windows,
Asynchronous Procedure Call,attack-pattern--7c0f17c9-1af6-4628-9cbd-9e45482dd605,VMR,Windows,
Plist File Modification,attack-pattern--7d20fff9-8751-404e-badd-ccd71bda0236,VMR,macOS,
JamPlus,attack-pattern--7d356151-a69d-404e-896b-71618952702a,VMR,Windows,
AppCert DLLs,attack-pattern--7d57b371-10c2-45e5-b3cc-83a8fb380e4c,VMR,Windows,
Email Forwarding Rule,attack-pattern--7d77a07d-02fe-4e88-8bd9-e9c008c01bf0,VMR,Linux;macOS;Office Suite;Windows,
Compromise Infrastructure,attack-pattern--7e3beebd-8bfe-4e7b-a892-e44ab06a75f9,VMR,PRE,
Mark-of-the-Web Bypass,attack-pattern--7e7c2fba-7cca-486c-9582-4c1bb2851961,VMR,Windows,
Disable Crypto Hardware,attack-pattern--7efba77e-3bc4-4ca5-8292-d8201dcd64b5,VMR,Network Devices,
Pre-OS Boot,attack-pattern--7f0ca133-88c4-40c6-a62f-b3083a7fbc2e,VMR,Linux;Network Devices;Windows;macOS,
Portable Executable Injection,attack-pattern--806a49c4-970d-43f9-9acc-ac0ee11e6662,VMR,Windows,
Verclsid,attack-pattern--808e6329-ca91-4b87-ac2d-8eadc5f8f327,VMR,Windows,
Compromise Accounts,attack-pattern--81033c3b-16a4-46e4-8fed-9b030dd03c4a,VMR,PRE,
Launchctl,attack-pattern--810aa4ad-61c9-49cb-993f-daa06199421d,VMR,macOS,
Botnet,attack-pattern--810d8072-afb6-4a56-9ee7-86379ac4a6f3,VMR,PRE,
Network Device CLI,attack-pattern--818302b2-d640-477b-bf88-873120ce85c4,VMR,Network Devices,
Shell History,attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3,VMR,Linux;macOS;Windows,
Downgrade Attack,attack-pattern--824add00-99a1-4b15-9a2d-6c5683b7b497,VMR,Windows;Linux;macOS,
XPC Services,attack-pattern--8252f135-ed26-4ce1-ae61-f26e94429a19,VMR,macOS,
Virtualization/Sandbox Evasion,attack-pattern--82caa33e-d11a-433a-94ea-9b5a5fbef81d,VMR,Linux;macOS;Windows,
Web Service,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665,VMR,ESXi;Linux;Windows;macOS,
DNS Calculation,attack-pattern--83a766f8-1501-4b3a-a2de-2e2849e8dfc1,VMR,Linux;macOS;Windows;ESXi,
Mshta,attack-pattern--840a987a-99bd-4a80-a5c9-0cb2baa6cade,VMR,Windows,
Login Items,attack-pattern--84601337-6a55-4ad7-9c35-79e0d1ea2ab3,VMR,macOS,
Stage Capabilities,attack-pattern--84771bc3-f6a0-403e-b144-01af70e5fda0,VMR,PRE,
Link Target,attack-pattern--84ae8255-b4f4-4237-b5c5-e717405a9701,VMR,PRE,
Multi-Stage Channels,attack-pattern--84e02621-8fdf-470f-bd58-993bb6a89d91,VMR,Linux;macOS;Windows;ESXi,
Execution Guardrails,attack-pattern--853c4192-4311-43e1-bfbb-b11b14911852,VMR,ESXi;Linux;macOS;Windows,
Token Impersonation/Theft,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d,VMR,Windows,
Exfiltration to Code Repository,attack-pattern--86a96bf6-cf8b-411c-aaeb-8959944d64f7,VMR,Linux;macOS;Windows;ESXi,
Port Knocking,attack-pattern--8868cb5b-d575-4a60-acb2-07d37389a2fd,VMR,Linux;macOS;Windows;Network Devices,
LNK Icon Smuggling,attack-pattern--887274fc-2d63-4bdc-82f3-fae56d1d5fdc,VMR,Windows,
Web Services,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,VMR,PRE,
Spearphishing Attachment,attack-pattern--8982a661-d84c-48c0-b4ec-1db29c6cf3bc,VMR,PRE,
Internal Defacement,attack-pattern--8c41090b-aa47-4331-986b-8c9a51a91103,VMR,ESXi;Linux;macOS;Windows,
Hidden Users,attack-pattern--8c4aef43-48d5-49aa-b2af-c0cd58d30c3d,VMR,macOS;Windows;Linux,
Make and Impersonate Token,attack-pattern--8cdeb020-e31e-4f88-a582-f53dcfbda819,VMR,Windows,
Group Policy Preferences,attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e,VMR,Windows,
Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,attack-pattern--8e350c1d-ac79-4b5c-bd4e-7476d7e84ec5,VMR,Linux;macOS;Windows;ESXi,
Process Discovery,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Impair Command History Logging,attack-pattern--8f504411-cb96-4dac-a537-8d2bb7679c59,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Network Provider DLL,attack-pattern--90c4a591-d02d-490b-92aa-619d9701ac04,VMR,Windows,
Windows Management Instrumentation Event Subscription,attack-pattern--910906dd-8c0a-475a-9cc1-5e029e2fad58,VMR,Windows,
CDNs,attack-pattern--91177e6d-b616-4a03-ba4b-f3b32f7dda75,VMR,PRE,
User Activity Based Checks,attack-pattern--91541e7e-b969-40c6-bbd8-1b5352ec2938,VMR,Linux;Windows;macOS,
Cloud Accounts,attack-pattern--926d8cfd-1d0d-4da2-ab49-3ca10ec3f3b5,VMR,PRE,
Exfiltration Over C2 Channel,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,VMR,ESXi;Linux;macOS;Windows,
Parent PID Spoofing,attack-pattern--93591901-3172-4e94-abf8-6034ab26f44a,VMR,Windows,
Gather Victim Org Information,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23,VMR,PRE,
Compromise Host Software Binary,attack-pattern--960c3c86-1480-4d72-b4e0-8c242e84a5c5,VMR,Linux;macOS;Windows;ESXi,
PowerShell,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,VMR,Windows,
Change Default File Association,attack-pattern--98034fef-d9fb-4667-8dc4-2eab6231724c,VMR,Windows,
VDSO Hijacking,attack-pattern--98be40f2-c86b-4ade-b6fc-4964932040e5,VMR,Linux,
File Transfer Protocols,attack-pattern--9a60a291-8960-4387-8a4a-2ab5c18bb50b,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Selective Exclusion,attack-pattern--9b00925a-7c4b-4e53-bfc8-9a6a806fde03,VMR,Windows,
Emond,attack-pattern--9c45eaa3-8604-4780-8988-b5074dbb9ecd,VMR,macOS,
One-Way Communication,attack-pattern--9c99724c-a483-4d60-ad9d-7f004e42e8e8,VMR,Linux;macOS;Windows;ESXi,
Gather Victim Network Information,attack-pattern--9d48cab2-7929-4812-ad22-f536665f0109,VMR,PRE,
Services File Permissions Weakness,attack-pattern--9e8b28c9-35fe-48ac-a14d-e6cc032dcbcd,VMR,Windows,
Registry Run Keys / Startup Folder,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279,VMR,Windows,
Local Groups,attack-pattern--a01bf75f-00b2-4568-a58f-565ff9bf202b,VMR,Linux;macOS;Windows,
Search Open Websites/Domains,attack-pattern--a0e6614a-7740-4b24-bd65-f1bde09fc365,VMR,PRE,
Disable or Modify Network Device Firewall,attack-pattern--a0f84e1d-d25c-4dd1-bb26-3c0e68471530,VMR,Network Devices,
Kernel Modules and Extensions,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,VMR,macOS;Linux,
Delay Execution,attack-pattern--a1df809c-7d0e-459f-8fe5-25474bab770b,VMR,Linux;macOS;Windows,
GUI Input Capture,attack-pattern--a2029942-0a85-4947-b23c-ca434698171d,VMR,macOS;Windows;Linux,
Tool,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,VMR,PRE,
Exfiltration over USB,attack-pattern--a3e1e6c5-9c74-4fc0-a16c-a9d228c17829,VMR,Linux;Windows;macOS,
KernelCallbackTable,attack-pattern--a4657bc9-d22f-47d2-a7b7-dd6ec33f3dde,VMR,Windows,
Search Closed Sources,attack-pattern--a51eb150-93b1-484b-a503-e51453b127a4,VMR,PRE,
ROMMONkit,attack-pattern--a6557c75-798f-42e4-be70-ab4502e0a3bc,VMR,Network Devices,
Compiled HTML File,attack-pattern--a6937325-9321-4e2e-bb2b-3ed2d40b2a9d,VMR,Windows,
Network Share Connection Removal,attack-pattern--a750a9f6-0bde-4bb3-9aae-1e2786e9780c,VMR,Windows,
Multi-hop Proxy,attack-pattern--a782ebe2-daba-42c7-bc82-e8e9d923162d,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Unix Shell,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,VMR,ESXi;Linux;macOS;Network Devices,
Outlook Forms,attack-pattern--a9e2cea0-c805-4bf8-9e31-f5f0513a3634,VMR,Windows;Office Suite,
Remote Access Hardware,attack-pattern--a9fb6b3f-4a3c-4703-a4f1-f55f83d1e017,VMR,Linux;macOS;Windows,
Data Manipulation,attack-pattern--ac9e6b22-11bf-45d7-9181-c1cb08360931,VMR,Linux;macOS;Windows,
Inter-Process Communication,attack-pattern--acd0ba37-7ba9-4cc5-ac61-796586cd856d,VMR,Linux;macOS;Windows,
Data Obfuscation,attack-pattern--ad255bfe-a9e6-4b52-a258-8d3462abe842,VMR,ESXi;Linux;macOS;Windows,
Data from Network Shared Drive,attack-pattern--ae676644-d2d2-41b7-af7e-9bed1b55898c,VMR,Linux;macOS;Windows,
Web Services,attack-pattern--ae797531-3219-49a4-bccf-324ad7a4c7b2,VMR,PRE,
Modify System Image,attack-pattern--ae7f3575-0a5e-427e-991b-fe03ad44c754,VMR,Network Devices,
Hijack Execution Flow,attack-pattern--aedfca76-3b30-4866-b2aa-0f1d7fd1e4b6,VMR,Linux;macOS;Windows,
Browser Fingerprint,attack-pattern--afac5dbc-4383-4fb6-9ba6-45b25d49e530,VMR,Linux;macOS;Windows,
Lua,attack-pattern--afddee82-3385-4682-ad90-eeced33f2d07,VMR,Linux;Network Devices;Windows;macOS,
Indicator Removal from Tools,attack-pattern--b0533c6e-8fea-4788-874f-b799cacc4b92,VMR,Linux;macOS;Windows,
Non-Standard Port,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,VMR,ESXi;Linux;macOS;Windows,
Social Media Accounts,attack-pattern--b1ccd744-3f78-4a0e-9bb2-2002057f7928,VMR,PRE,
Process Hollowing,attack-pattern--b200542e-e877-4395-875b-cf1a44537ca4,VMR,Windows,
Exploitation for Privilege Escalation,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,VMR,Containers;Linux;macOS;Windows,
Resource Forking,attack-pattern--b22e5153-ac28-4cc6-865c-2054e36285cb,VMR,macOS,
Obfuscated Files or Information,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Remote Email Collection,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a,VMR,Windows;Office Suite,
IIS Components,attack-pattern--b46a801b-fd98-491c-a25a-bca25d6e3001,VMR,Windows,
Invalid Code Signature,attack-pattern--b4b7458f-81f2-4d38-84be-1c5ba0167a52,VMR,Windows;macOS,
Run Virtual Instance,attack-pattern--b5327dd1-6bf9-4785-a199-25bcbd1f4a9d,VMR,Linux;macOS;Windows;ESXi,
Polymorphic Code,attack-pattern--b577dfc1-0177-4522-8d5a-782127c8592b,VMR,Windows;macOS;Linux,
Unix Shell Configuration Modification,attack-pattern--b63a34e8-0a61-4c97-a23b-bf8a2ed812e2,VMR,Linux;macOS,
Forced Authentication,attack-pattern--b77cf5f3-6060-475d-bd60-40ccbf28fdc2,VMR,Windows,
SID-History Injection,attack-pattern--b7dc639b-24cd-482d-a7f1-8897eda21023,VMR,Windows,
Network Boundary Bridging,attack-pattern--b8017880-4b1e-42de-ad10-ae7ac6705166,VMR,Network Devices,
Subvert Trust Controls,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7,VMR,Windows;macOS;Linux,
Elevated Execution with Prompt,attack-pattern--b84903f0-c7d5-435d-a69e-de47cc3578c0,VMR,macOS,
Firmware,attack-pattern--b85f6ce5-81e8-4f36-aff2-3df9d02a9c9d,VMR,PRE,
Encrypted Channel,attack-pattern--b8902400-e6c5-4ba2-95aa-2d35b442b118,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Authentication Package,attack-pattern--b8cfed42-6a8a-4989-ad72-541af74475ec,VMR,Windows,
Regsvr32,attack-pattern--b97f1d35-4249-4486-a6b5-ee60ccf24fab,VMR,Windows,
Exfiltration to Text Storage Sites,attack-pattern--ba04e672-da86-4e69-aa15-0eca5db25f43,VMR,Linux;macOS;Windows;ESXi,
Software,attack-pattern--baf60e1a-afe5-4d31-830f-1b1ba2351884,VMR,PRE,
Input Capture,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,VMR,Linux;macOS;Network Devices;Windows,
Exploits,attack-pattern--bbc3cba7-84ae-410d-b18b-16750731dfa2,VMR,PRE,
Social Media,attack-pattern--bbe5b322-e2af-4a5e-9625-a4e62bf84ed3,VMR,PRE,
Component Object Model Hijacking,attack-pattern--bc0f5e80-91c0-4e04-9fbb-e4e332c85dae,VMR,Windows,
Credentials,attack-pattern--bc76d0a4-db11-4551-9ac4-01a469cfb161,VMR,PRE,
Compromise Software Supply Chain,attack-pattern--bd369cd9-abb8-41ce-b5bb-fff23ee86c00,VMR,Linux;Windows;macOS,
Rename Legitimate Utilities,attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b,VMR,Linux;macOS;Windows,
Bidirectional Communication,attack-pattern--be055942-6e63-49d7-9fa1-9cb7d8a8f3f4,VMR,Linux;macOS;Windows;ESXi,
Exploitation for Client Execution,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,VMR,Linux;macOS;Windows,
Wordlist Scanning,attack-pattern--bed04f7d-e48a-4e76-bd0f-4c57fe31fc46,VMR,PRE,
Email Bombing,attack-pattern--bed81616-3dde-4685-be6e-ba9820f9a7ed,VMR,Linux;Office Suite;Windows;macOS,
Spoof Security Alerting,attack-pattern--bef8aaee-961d-4359-a308-4c2182bcedff,VMR,Windows;macOS;Linux,
Outlook Home Page,attack-pattern--bf147104-abf9-4221-95d1-e81585859441,VMR,Windows;Office Suite,
Asymmetric Cryptography,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Exfiltration to Cloud Storage,attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b,VMR,ESXi;Linux;macOS;Windows,
Path Interception by Unquoted Path,attack-pattern--bf96a5a3-3bce-43b7-8597-88545984c07b,VMR,Windows,
Install Digital Certificate,attack-pattern--c071d8c1-3b3a-4f22-9407-ca4e96921069,VMR,PRE,
Startup Items,attack-pattern--c0dfe7b0-b873-4618-9ff8-53e31f70907f,VMR,macOS,
System Language Discovery,attack-pattern--c1b68a96-3c48-49ea-a6c0-9b27359f9c19,VMR,Linux;macOS;Windows,
Non-Application Layer Protocol,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Steganography,attack-pattern--c2e147a9-d1a8-4074-811a-d8789202d916,VMR,Linux;macOS;Windows,
DNS Server,attack-pattern--c2f59d25-87fe-44aa-8f83-e8e59d077bf5,VMR,PRE,
Protocol or Service Impersonation,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,VMR,ESXi;Linux;macOS;Windows,
Query Registry,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,VMR,Windows,
Data Transfer Size Limits,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd,VMR,Linux;macOS;Windows;ESXi,
Domain Accounts,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f,VMR,ESXi;Linux;macOS;Windows,
Regsvcs/Regasm,attack-pattern--c48a67ee-b657-45c1-91bf-6cdbe27205f8,VMR,Windows,
Python Startup Hooks,attack-pattern--c5087385-9b7c-4488-9923-d9e370bf08df,VMR,Linux;macOS;Windows,
Install Root Certificate,attack-pattern--c615231b-f253-4f58-9d47-d5b4cbdb6839,VMR,Linux;macOS;Windows,
Network Logon Script,attack-pattern--c63a348e-ffc2-486a-b9d9-d7f11ec54d99,VMR,Windows,
Compile After Delivery,attack-pattern--c726e0a2-a57a-4b7b-a973-d0f013246617,VMR,Linux;macOS;Windows,
VBA Stomping,attack-pattern--c898c4b5-bf36-4e6e-a4ad-5b8c4c13e35b,VMR,Linux;Windows;macOS,
BITS Jobs,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,VMR,Windows,
MSBuild,attack-pattern--c92e3d68-2349-49e4-a341-7edca2deff96,VMR,Windows,
Domain Fronting,attack-pattern--ca9d3402-ada3-484d-876a-d717bd6e05f2,VMR,Linux;macOS;Windows;ESXi,
ARP Cache Poisoning,attack-pattern--cabe189c-a0e3-4965-a473-dcff00f17213,VMR,Linux;Windows;macOS,
Hidden Window,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0,VMR,Linux;macOS;Windows,
ClickOnce,attack-pattern--cc279e50-df85-4c8e-be80-6dc2eda8849c,VMR,Windows,
Python,attack-pattern--cc3502b5-30cc-4473-ad48-42d51a6ef6d1,VMR,ESXi;Linux;macOS;Windows,
Relocate Malware,attack-pattern--cc36eeae-2209-4e63-89d3-c97e19edf280,VMR,Linux;macOS;Windows;Network Devices,
Identify Roles,attack-pattern--cc723aff-ec88-40e3-a224-5af9fd983cc4,VMR,PRE,
Data Encoding,attack-pattern--cc7b8c4e-9be0-47ca-b0bb-83915ec3ee2f,VMR,Linux;macOS;Windows;ESXi,
AppInit DLLs,attack-pattern--cc89ecbd-3d33-4a41-bcca-001e702d18fd,VMR,Windows,
Phishing for Information,attack-pattern--cca0ccb6-a068-4574-a722-b1556f86833a,VMR,PRE,
Establish Accounts,attack-pattern--cdfc5f0a-9bb9-4352-b896-553cfa2d8fd8,VMR,PRE,
Obtain Capabilities,attack-pattern--ce0687a0-e692-4b77-964a-0784a8e54ff1,VMR,PRE,
Screensaver,attack-pattern--ce4b7013-640e-48a9-b501-d0025a95f4bf,VMR,Windows,
Transmitted Data Manipulation,attack-pattern--d0613359-5781-4fd2-b5be-c269270be1f6,VMR,Linux;macOS;Windows,
Launch Agent,attack-pattern--d10cbd34-42e3-45c0-84d2-535a09849584,VMR,macOS,
System Services,attack-pattern--d157f9d2-d09a-4efa-bb2a-64963f94e253,VMR,Windows;macOS;Linux,
Windows Command Shell,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,VMR,Windows,
Acquire Access,attack-pattern--d21bb61f-08ad-4dc1-b001-81ca6cb79954,VMR,PRE,
Patch System Image,attack-pattern--d245808a-7086-4310-984a-a84aaaa43f8f,VMR,Network Devices,
Silver Ticket,attack-pattern--d273434a-448e-4598-8e14-607f4a0d5e27,VMR,Windows,
Clear Persistence,attack-pattern--d2c4e5ea-dbdf-4113-805a-b1e2a337fb33,VMR,ESXi;Linux;Windows;macOS,
Hypervisor CLI,attack-pattern--d2d642da-61ff-4211-b4df-7923c9ca220c,VMR,ESXi,
Windows Credential Manager,attack-pattern--d336b553-5da9-46ca-98a8-0b23f49fb447,VMR,Windows,
Hardware Additions,attack-pattern--d40239b3-05ff-46d8-9bdd-b46d13463ef9,VMR,Windows;Linux;macOS,
Remote Desktop Software,attack-pattern--d4287702-e2f7-4946-bdfa-2c7f5aaa5032,VMR,Linux;macOS;Windows,
Server Software Component,attack-pattern--d456de47-a16f-4e46-8980-e67478a12dcb,VMR,Windows;Linux;macOS;Network Devices;ESXi,
Non-Standard Encoding,attack-pattern--d467bc38-284b-4a00-96ac-125f447799fc,VMR,ESXi;Linux;macOS;Windows,
Domain Controller Authentication,attack-pattern--d4b96d2c-1032-4b22-9235-2b5b649d0605,VMR,Windows,
HTML Smuggling,attack-pattern--d4dc46e3-5ba5-45b9-8204-010867cacfcb,VMR,Windows;Linux;macOS,
Reversible Encryption,attack-pattern--d50955c2-272d-4ac8-95da-10c29dda1c48,VMR,Windows,
Command Obfuscation,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377,VMR,Linux;macOS;Windows,
File Deletion,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,VMR,ESXi;Linux;macOS;Windows,
Installer Packages,attack-pattern--da051493-ae9c-4b1b-9760-c009c46c9b56,VMR,Linux;Windows;macOS,
Scanning IP Blocks,attack-pattern--db8f5003-3b20-48f0-9b76-123e44208120,VMR,PRE,
Template Injection,attack-pattern--dc31fe1e-d722-49da-8f5f-92c7b5aff534,VMR,Windows,
RC Scripts,attack-pattern--dca670cf-eeec-438f-8185-fd959d9ef211,VMR,macOS;Linux;Network Devices;ESXi,
Access Token Manipulation,attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48,VMR,Windows,
Multi-Factor Authentication Interception,attack-pattern--dd43c543-bb85-4a6f-aa6e-160d90d06a49,VMR,Linux;Windows;macOS,
Software Packing,attack-pattern--deb98323-e13f-4b0c-8d94-175379069062,VMR,Linux;macOS;Windows,
Serverless,attack-pattern--df1bc34d-1634-4c93-b89e-8120994fce77,VMR,PRE,
Web Protocols,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Visual Basic,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,VMR,Linux;macOS;Windows,
Hidden File System,attack-pattern--dfebc3b7-d19d-450b-81c7-6dafe4184c04,VMR,Linux;macOS;Windows,
Exclusive Control,attack-pattern--dff263cc-328e-42b4-afbc-1fee8b6a8913,VMR,Linux;macOS;Windows,
Server,attack-pattern--e196b5c5-8118-4a1c-ab8a-936586ce3db5,VMR,PRE,
Email Spoofing,attack-pattern--e1c2db92-7ae3-4e6a-90b4-157c1c1565cb,VMR,Office Suite;Windows;macOS;Linux,
Malicious Copy and Paste,attack-pattern--e261a979-f354-41a8-963e-6cadac27c4bf,VMR,Linux;macOS;Windows,
Remote System Discovery,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,VMR,ESXi;Linux;macOS;Network Devices;Windows,
Domain Properties,attack-pattern--e3b168bd-fcd7-439e-9382-2e6c2f63514d,VMR,PRE,
Thread Local Storage,attack-pattern--e49ee9d2-0d98-44ef-85e5-5d3100065744,VMR,Windows,
Debugger Evasion,attack-pattern--e4dc8c01-417f-458d-9ee0-bb0617c1b391,VMR,Linux;macOS;Windows,
Space after Filename,attack-pattern--e51137a5-1cdc-499e-911a-abaedaa5ac86,VMR,Linux;macOS,
