name,id,class,platforms,permissions
JavaScript,attack-pattern--0f4a0c76-ab2d-4cb0-85d3-3f0efb8cba0d,VMR,Linux;macOS;Windows,
DNS,attack-pattern--0ff59227-8aa8-4c09-bf1f-925605bd07ea,VMR,PRE,
Audio Capture,attack-pattern--1035cdf2-3e5f-446f-a7a7-e8f6d7925967,VMR,Linux;macOS;Windows,
Create or Modify System Process,attack-pattern--106c0cf6-bf73-4601-9aa8-0945c2715ec5,VMR,Windows;macOS;Linux;Containers,
External Remote Services,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,VMR,Containers;Linux;macOS;Windows,
LC_LOAD_DYLIB Addition,attack-pattern--10ff21b9-5a01-4268-a1b5-3b55015f1847,VMR,macOS,
Domain Generation Algorithms,attack-pattern--118f61a5-eb3e-4fb6-931f-2096647f4ecd,VMR,Linux;macOS;Windows;ESXi,
Double File Extension,attack-pattern--11f29a39-0942-4d62-92b6-fe236cf3066e,VMR,Windows,
Bypass User Account Control,attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073,VMR,Windows,
Internet Connection Discovery,attack-pattern--132d5b37-aac5-4378-a8dc-3127b18a73dc,VMR,Windows;Linux;macOS;ESXi,
Sudo and Sudo Caching,attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,VMR,Linux;macOS,
Archive via Custom Method,attack-pattern--143c0cbb-a297-4142-9624-87ffc778980b,VMR,Linux;macOS;Windows,
Network Devices,attack-pattern--149b477f-f364-4824-b1b5-aa1d56115869,VMR,PRE,
Malvertising,attack-pattern--155207c0-7f53-4f13-a06b-0a9907ef5096,VMR,PRE,
Email Collection,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,VMR,Windows;macOS;Linux;Office Suite,
Security Account Manager,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,VMR,Windows,
WHOIS,attack-pattern--166de1c6-2814-4fe5-8438-4e80f76b169f,VMR,PRE,
System Firmware,attack-pattern--16ab6452-c3c1-497c-a47d-206018ca1ada,VMR,Windows;Network Devices,
Search Victim-Owned Websites,attack-pattern--16cdd21f-da65-4e4f-bc04-dd7d198c7b26,VMR,PRE,
Services Registry Permissions Weakness,attack-pattern--17cc750b-e95b-4d7d-9dde-49e0de24148c,VMR,Windows,
DNS/Passive DNS,attack-pattern--17fd695c-b88c-455a-a3d1-43b6cb728532,VMR,PRE,
Compromise Software Dependencies and Development Tools,attack-pattern--191cc6af-1bb2-4344-ab5f-28e496638720,VMR,Linux;macOS;Windows,
Digital Certificates,attack-pattern--19401639-28d0-4c3c-adcc-bc2ba22f6421,VMR,PRE,
DNS Server,attack-pattern--197ef1b9-e764-46c3-b96c-23f77985dc81,VMR,PRE,
Disk Wipe,attack-pattern--1988cc35-ced8-4dad-b2d1-7628488fa967,VMR,Linux;macOS;Windows;Network Devices,
DNS,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,VMR,Linux;macOS;Windows;Network Devices;ESXi,
Securityd Memory,attack-pattern--1a80d097-54df-41d8-9d33-34e755ec5e72,VMR,Linux;macOS,
Group Policy Discovery,attack-pattern--1b20efbf-8063-4fc3-a07d-b575318a301b,VMR,Windows,
Bootkit,attack-pattern--1b7b1806-7746-41a1-a35d-e48dae25ddba,VMR,Linux;Windows,
Data from Removable Media,attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,VMR,Linux;macOS;Windows,
Mavinject,attack-pattern--1bae753e-8e52-4055-a66d-2ead90303ca9,VMR,Windows,
Local Data Staging,attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c,VMR,ESXi;Linux;macOS;Windows,
Match Legitimate Resource Name or Location,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,VMR,Containers;ESXi;Linux;macOS;Windows,
Digital Certificates,attack-pattern--1cec9319-743b-4840-bb65-431547bce82a,VMR,PRE,
Stored Data Manipulation,attack-pattern--1cfcb312-b8d7-47a4-b560-4b16cc677292,VMR,Linux;macOS;Windows,
Local Email Collection,attack-pattern--1e9eb839-294b-48cc-b0d3-c45555a2a004,VMR,Windows,
Keychain,attack-pattern--1eaebf46-e361-4437-bc23-d5d65a3b92e3,VMR,macOS,
Boot or Logon Autostart Execution,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf,VMR,Linux;macOS;Windows;Network Devices,
LSA Secrets,attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc,VMR,Windows,
Weaken Encryption,attack-pattern--1f9012ef-1e10-4e48-915e-e03563435fe8,VMR,Network Devices,
Masquerade File Type,attack-pattern--208884f1-7b83-4473-ac22-4e1cf6c41471,VMR,Linux;macOS;Windows,
Malware,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0,VMR,PRE,
Device Driver Discovery,attack-pattern--215d9700-5881-48b8-8265-6449dbb7195d,VMR,Linux;macOS;Windows,
Domain Account,attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af,VMR,Linux;macOS;Windows,
Active Setup,attack-pattern--22522668-ddf6-470b-a027-9d6866679f67,VMR,Windows,
